甘家巷炼油厂食堂一楼苏果超市有限公司甘家巷连锁店	纬一路与7号路交叉口西北50米华润苏果超市(甘家巷店)	1
南湖社区84栋三单元	no_name	1
no_name	22县道西50米广西建工集团建筑机械制造有限责任公司	1
程永道秋丽家园37-	no_name	1
no_name	南湖蓓蕾小区(南湖路西)蓓蕾村24号楼	1
no_name	凤安家园西北90米(府前街北)妈祖新村33号楼	1
no_name	no_name	1
东边城街47号荣乐社区4单元201	东边城街45-1号荣乐社区	1
演达一路1号瑞和家园一期二单元	no_name	1
no_name	龙湖镇龙泊圣地度假村河南纪检监察宣教基地	1
江苏省南京市玄武区红山街道月苑南路北城新风1单元	no_name	1
西环路办事处利民西街博盛超市圣洁淋浴	no_name	1
燕山乡虎山东路宝业学府绿苑7号楼一单元	no_name	1
no_name	惠济区京水十二组回民小区1幢	1
no_name	no_name	1
成都市二环路东二段22号浦发银行成都分行	二环路东二段22号上海浦东发展银行(成都分行)	1
富阳银湖区金子垄村附近320国道	no_name	1
no_name	北二环北200米科技大学学生宿舍1区6栋	1
no_name	no_name	1
no_name	no_name	1
曲江新区雁南四路与芙蓉西路消防中队	no_name	1
no_name	no_name	1
普陀区雪松路桃浦七村258号	no_name	1
no_name	no_name	1
梨子山社区一栋二单元	no_name	1
福强路福民新村33栋	no_name	1
no_name	no_name	1
一环路北二段府河桥东街78号府河一号	no_name	1
no_name	体育路与财富大道交叉口西南150米八里湖安置小区8幢	1
华星路108-110号怡泰大厦	no_name	1
no_name	萧山区河庄路	1
no_name	no_name	1
江苏南京市鼓楼区和燕路119号江苏南京市鼓楼区和燕路119号先声再康药店	和燕路119号东大楼1F-D01、02、03052F-D01先声再康药店(东井亭店)	1
no_name	秦虹南路56号岗虹苑小区13幢	1
元岗横路13号天河慧通产业广场A1栋	no_name	1
no_name	no_name	1
no_name	增城区永宁街道	1
no_name	no_name	1
东里路16号院3号楼	金水区东里路16号院3号楼	1
万寿大道附104号石柱土家族自治县师范附属小学校一单元	万寿大道104号附13号石柱土家族自治县师范附属小学校	1
no_name	洪武路199号长发银座A座	1
no_name	no_name	1
no_name	颍州区王斜庄	1
no_name	no_name	1
no_name	no_name	1
港龙园1-江苏省机构编制委员会办公室	no_name	1
no_name	no_name	1
江苏省南京市玄武区梅园新村街道珠江路517号六单元	no_name	1
no_name	no_name	1
王四营乡五方天雅汽配城A3-16	朝阳区五方天雅汽配城A3	1
no_name	万家丽中路一段196号长房中庭国际4楼华浔品味装饰(嘉雨路)	1
广州商学院九龙大道广州商学院20栋新菜鸟驿站	no_name	1
no_name	江南工业东区三环路与江南工业东区中心路交叉口南50米八哥酸辣粉	1
no_name	no_name	1
no_name	no_name	1
no_name	丰和中大道联泰·香域尚城联泰香域尚城4号楼	1
江苏省南京市雨花台区软件谷宁双路7号凤翔新城2期6栋2单元	铁心村宁双路凤翔新城二期凤翔新城二期S6栋	1
湖滨村1幢**	凤南街15号湖滨村1幢	1
新疆乌鲁木齐区市头屯河南区火西站在街道金桥梁路新疆艺术学院(新校区)699号码艺	no_name	1
no_name	no_name	1
no_name	江滨路1001号附近绍兴华彬石化有限公司	1
坡街4号院中晟馨苑11号楼	顺义区中晟馨苑二号院11号楼	1
no_name	no_name	1
no_name	no_name	1
江苏省南京市玄武区锁金村街道板仓街板仓街49号22幢	板仓街49号22幢板仓街49号小区22幢	1
no_name	长星沙街道板仓北路248号天星家园	1
no_name	no_name	1
no_name	西市街与西港街交叉口南150米郧西家园	1
九都新天地三组团四单元	no_name	1
海南省琼海市彬村山华侨农场经济特区。	201省道南200米琼海市彬村山华侨农场	1
no_name	小店区东怡花苑2号楼	1
no_name	no_name	1
no_name	no_name	1
no_name	no_name	1
no_name	杨泉路附近陕西省杂交油菜研究中心	1
no_name	no_name	1
no_name	no_name	1
no_name	海垦路滨濂南社区四里34号农行斜对面100米近金山小区站锦绣幸福酒店(海垦店)	1
no_name	no_name	1
尧石二村100号南京中石化二公司幼儿园	no_name	1
12号达富生活区	高新技术产业园朝阳路12号达富生活	1
no_name	彩云路717弄1-51号云树欣居	1
no_name	no_name	1
no_name	潞城镇通胡大街与东六环西侧路交汇处(通胡大街1号院)月季园	1
no_name	no_name	1
no_name	no_name	1
康乐中约南新街西五巷(良友网吧)进去50米心联兴复合厂。	no_name	1
no_name	荷塘月色东区(紫东路北90米)荷塘月色东区2号楼	1
no_name	no_name	1
广东省东莞市莞城街道运河西一路114号	no_name	1
no_name	鼓楼区二板桥557号4号楼	1
no_name	东吴北路129号6栋东吴北路129号院6栋	1
no_name	no_name	1
no_name	no_name	1
no_name	no_name	1
广东省深圳市福田区俊景豪园	香梅路2002号俊景豪园1栋	1
江桥沃尔玛鑫海宠物会所,	no_name	1
no_name	机投镇万华街39号花香庭园	1
no_name	no_name	1
上海市海南省白沙县七坊镇长龙村	白沙黎族自治县长龙村	1
浦秀北路55弄万科翡翠别墅5期12号	江桃路与浦秀路交叉口南100米翡翠别墅5期	1
no_name	富阳区东望路	1
no_name	黎明街道生态大街滨洲华府滨洲华府19号楼	1
滨河路北一段190号观澜云座一栋一单元5楼	武进区观澜云庭1幢	1
no_name	no_name	1
no_name	no_name	1
江苏省南京市鼓楼区建宁路街道建宁路45号博桥市场f1楼	建宁路45号朗驰大厦博桥酒店用品市场	1
no_name	银杏路与326国道交叉口北150米鑫中正大酒店水汇	1
no_name	no_name	1
no_name	自强家园小区1号楼自强小区1号楼	1
no_name	no_name	1
no_name	no_name	1
海南省东方市三家镇三家村	东方市三家村	1
no_name	科园北路18号B栋宁海县晓璐金属制品有限公司	1
no_name	越城区鸿通金都公寓32幢	1
no_name	no_name	1
砖文村大寨小区19号泽生食杂店	城厢镇砖文安塔小区23号泽生食杂店	1
no_name	no_name	1
北京市通州区月亮湾小区4号楼5单元	no_name	1
宝岗路笋岗村81栋	宝岗路90号笋岗新村81号楼	1
no_name	兴业路盛世东方(兴业路)	1
no_name	no_name	1
桔颂街化工队	郢城镇桔颂街25号小北门外化工队	1
